DurationMonth,CreditAmount,Age,ResidenceSince,StatusAccount,CreditHistory,Purpose,SavingsAccount,EmploymentSince,StatusAndSex,Guarantors,Property,InstallmentPlans,Housing,Job,Telephone,ForeignWorker,Customer,NCredits,NPeopleMain,InstallmentRate,index
35,942,29,2.0,A14, A34, A43, A65, A73, A93, A101, A121, A143, A152, A172, A191, A201,1,1.0,1,1,0
60,10955,52,2.0,A11, A32, A43, A65, A74, A93, A101, A123, A143, A152, A173, A191, A201,2,1.0,1,2,1
21,1481,34,2.0,A14, A34, A40, A61, A73, A93, A101, A121, A143, A152, A172, A191, A201,1,2.0,1,3,2
48,1431,27,4.0,A11, A32, A40, A61, A72, A92, A101, A123, A143, A152, A173, A192, A201,2,1.0,1,3,3
10,1523,28,2.0,A12, A32, A43, A61, A73, A92, A101, A121, A143, A152, A173, A192, A201,2,1.0,1,3,4
36,3950,21,4.0,A14, A32, A49, A62, A74, A92, A101, A123, A143, A152, A173, A192, A201,1,2.0,1,4,5
16,767,24,4.0,A11, A34, A43, A64, A73, A93, A101, A121, A143, A152, A173, A192, A201,1,2.0,1,4,6
18,2758,27,2.0,A12, A34, A410, A62, A72, A92, A102, A122, A141, A151, A171, A191, A201,2,2.0,1,3,7
14,2396,27,2.0,A12, A32, A40, A61, A73, A94, A101, A123, A143, A151, A174, A192, A201,1,1.0,1,3,8
36,1320,27,4.0,A14, A34, A43, A64, A75, A92, A101, A121, A143, A152, A172, A191, A201,1,2.0,1,4,9
10,864,59,2.0,A14, A32, A43, A61, A73, A93, A101, A121, A143, A152, A172, A192, A201,1,1.0,1,4,10
18,1884,35,2.0,A14, A32, A42, A61, A73, A94, A101, A121, A143, A151, A173, A191, A201,1,1.0,1,4,11
18,774,49,2.0,A11, A34, A46, A61, A75, A93, A101, A122, A143, A152, A173, A191, A201,2,1.0,1,4,12
36,2367,41,2.0,A14, A34, A43, A61, A75, A93, A101, A123, A142, A152, A173, A191, A201,1,2.0,2,4,13
12,2071,73,4.0,A14, A32, A40, A61, A73, A93, A101, A122, A143, A152, A172, A191, A201,1,1.0,2,2,14
18,2509,33,4.0,A11, A32, A46, A61, A72, A93, A102, A122, A143, A151, A173, A191, A201,1,1.0,1,1,15
6,1921,60,4.0,A14, A32, A42, A61, A73, A93, A101, A122, A143, A152, A172, A191, A201,1,1.0,1,3,16
24,1644,19,4.0,A14, A32, A43, A61, A73, A93, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,3,17
12,1377,23,1.0,A12, A31, A49, A62, A73, A93, A101, A123, A142, A152, A173, A191, A201,1,2.0,1,4,18
6,5345,41,2.0,A12, A32, A40, A61, A74, A93, A102, A121, A143, A152, A172, A191, A202,1,1.0,2,2,19
45,1762,28,2.0,A12, A32, A43, A65, A72, A92, A101, A121, A143, A151, A173, A191, A201,1,1.0,1,1,20
36,1551,38,4.0,A12, A32, A43, A63, A75, A93, A101, A123, A142, A152, A173, A191, A201,1,1.0,1,4,21
5,910,64,4.0,A11, A32, A41, A61, A73, A93, A101, A121, A143, A152, A172, A192, A201,1,1.0,2,3,22
18,5435,30,4.0,A12, A34, A40, A61, A73, A92, A102, A124, A143, A152, A173, A191, A202,2,2.0,1,1,23
18,1216,28,2.0,A11, A34, A40, A61, A75, A93, A102, A121, A143, A152, A173, A191, A201,1,2.0,1,4,24
15,1212,23,1.0,A11, A34, A42, A61, A72, A92, A101, A123, A141, A151, A173, A191, A201,2,1.0,1,4,25
27,1656,42,2.0,A11, A32, A43, A61, A73, A93, A103, A121, A143, A152, A172, A191, A201,1,1.0,2,2,26
24,872,30,2.0,A14, A34, A42, A65, A72, A93, A101, A122, A143, A152, A173, A191, A201,2,1.0,1,4,27
6,365,23,4.0,A14, A32, A43, A61, A73, A92, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,4,28
18,1150,34,4.0,A11, A34, A43, A61, A75, A93, A101, A121, A143, A152, A173, A191, A201,1,2.0,1,4,29
15,1252,23,4.0,A14, A32, A42, A61, A74, A93, A101, A123, A143, A152, A173, A191, A201,1,2.0,1,2,30
6,5120,39,4.0,A12, A32, A42, A61, A73, A93, A101, A122, A143, A152, A173, A192, A201,2,1.0,1,3,31
24,306,52,4.0,A14, A32, A46, A61, A75, A93, A101, A123, A142, A152, A173, A191, A201,2,1.0,1,4,32
18,4822,46,2.0,A11, A32, A43, A61, A75, A93, A101, A121, A143, A152, A173, A191, A201,1,1.0,1,4,33
43,1536,26,2.0,A14, A32, A43, A61, A75, A93, A101, A123, A143, A152, A174, A192, A201,1,1.0,1,4,34
6,1187,26,2.0,A11, A34, A46, A61, A71, A92, A102, A122, A143, A152, A173, A192, A201,2,1.0,1,1,35
6,696,28,4.0,A14, A32, A43, A61, A73, A92, A101, A123, A143, A152, A172, A191, A201,1,1.0,1,2,36
6,1334,58,4.0,A12, A32, A46, A61, A75, A93, A101, A124, A143, A153, A174, A192, A201,1,1.0,1,4,37
6,4834,35,4.0,A12, A32, A46, A65, A75, A93, A101, A124, A143, A152, A172, A191, A201,1,1.0,1,2,38
6,1299,55,3.0,A11, A34, A40, A61, A75, A93, A101, A122, A143, A152, A174, A192, A201,1,1.0,2,1,39
12,266,41,4.0,A14, A34, A43, A61, A75, A93, A101, A123, A143, A152, A173, A192, A201,1,2.0,1,4,40
15,3246,29,4.0,A12, A34, A40, A62, A75, A92, A101, A121, A143, A151, A173, A191, A201,1,2.0,2,1,41
24,1751,30,4.0,A14, A32, A43, A61, A72, A93, A101, A123, A143, A152, A173, A191, A201,1,1.0,1,2,42
